PYCR2	PYCR2
SDE2	SDE2
ACBD3	ACBD3
LIN9	LIN9
PARP1	PARP1
PSEN2	PSEN2
COQ8A	COQ8A
CDC42BPA	CDC42BPA
SNAP47	SNAP47
JMJD4	JMJD4
ARF1	ARF1
C1orf35	C1orf35
MRPL55	MRPL55
GUK1	GUK1
IBA57	IBA57
TRIM11	TRIM11
HIST3H2A	HIST3H2A
RNF187	RNF187
RAB4A	RAB4A
CCSAP	CCSAP
NUP133	NUP133
ABCB10	ABCB10
TAF5L	TAF5L
URB2	URB2
GALNT2	GALNT2
COG2	COG2
C1orf198	C1orf198
TTC13	TTC13
ARV1	ARV1
FAM89A	FAM89A
C1orf131	C1orf131
GNPAT	GNPAT
EXOC8	EXOC8
SPRTN	SPRTN
EGLN1	EGLN1
AL445524.1	AL445524.1
TSNAX	TSNAX
NTPCR	NTPCR
AL355472.1	AL355472.1
COA6	COA6
TARBP1	TARBP1
IRF2BP2	IRF2BP2
TOMM20	TOMM20
RBM34	RBM34
ARID4B	ARID4B
GGPS1	GGPS1
TBCE	TBCE
TBCE.1	TBCE.1
B3GALNT2	B3GALNT2
GNG4	GNG4
LYST	LYST
GPR137B	GPR137B
HEATR1	HEATR1
MTR	MTR
LINC01139	LINC01139
FH	FH
OPN3	OPN3
CHML	CHML
EXO1	EXO1
CEP170	CEP170
SDCCAG8	SDCCAG8
AKT3	AKT3
ZBTB18	ZBTB18
ADSS	ADSS
DESI2	DESI2
COX20	COX20
HNRNPU	HNRNPU
EFCAB2	EFCAB2
SMYD3	SMYD3
TFB2M	TFB2M
CNST	CNST
SCCPDH	SCCPDH
AHCTF1	AHCTF1
ZNF695	ZNF695
ZNF670	ZNF670
ZNF669	ZNF669
ZNF124	ZNF124
ZNF496	ZNF496
SH3BP5L	SH3BP5L
ZNF672	ZNF672
ZNF692	ZNF692
PGBD2	PGBD2
SH3YL1	SH3YL1
ACP1	ACP1
TMEM18	TMEM18
EIPR1	EIPR1
TRAPPC12	TRAPPC12
ADI1	ADI1
AC231981.1	AC231981.1
AC108488.1	AC108488.1
RNASEH1	RNASEH1
RNASEH1-AS1	RNASEH1-AS1
ID2	ID2
KIDINS220	KIDINS220
MBOAT2	MBOAT2
ASAP2	ASAP2
ITGB1BP1	ITGB1BP1
CPSF3	CPSF3
IAH1	IAH1
ADAM17	ADAM17
AC073195.1	AC073195.1
YWHAQ	YWHAQ
TAF1B	TAF1B
KLF11	KLF11
CYS1	CYS1
RRM2	RRM2
HPCAL1	HPCAL1
ODC1	ODC1
NOL10	NOL10
PQLC3	PQLC3
ROCK2	ROCK2
E2F6	E2F6
GREB1	GREB1
LPIN1	LPIN1
NBAS	NBAS
DDX1	DDX1
SMC6	SMC6
GEN1	GEN1
RDH14	RDH14
TTC32	TTC32
WDR35	WDR35
LAPTM4A	LAPTM4A
SDC1	SDC1
PUM2	PUM2
RHOB	RHOB
HS1BP3	HS1BP3
ATAD2B	ATAD2B
UBXN2A	UBXN2A
WDCP	WDCP
FKBP1B	FKBP1B
FAM228B	FAM228B
TP53I3	TP53I3
ITSN2	ITSN2
NCOA1	NCOA1
PTRHD1	PTRHD1
CENPO	CENPO
ADCY3	ADCY3
DNAJC27	DNAJC27
EFR3B	EFR3B
DNMT3A	DNMT3A
DTNB	DTNB
ASXL2	ASXL2
RAB10	RAB10
GAREM2	GAREM2
HADHA	HADHA
HADHB	HADHB
SELENOI	SELENOI
SLC35F6	SLC35F6
CENPA	CENPA
MAPRE3	MAPRE3
TMEM214	TMEM214
AGBL5	AGBL5
EMILIN1	EMILIN1
KHK	KHK
CGREF1	CGREF1
PREB	PREB
SLC5A6	SLC5A6
ATRAID	ATRAID
CAD	CAD
UCN	UCN
MPV17	MPV17
GTF3C2	GTF3C2
AC074117.1	AC074117.1
EIF2B4	EIF2B4
SNX17	SNX17
ZNF513	ZNF513
PPM1G	PPM1G
NRBP1	NRBP1
FNDC4	FNDC4
CCDC121	CCDC121
GPN1	GPN1
SUPT7L	SUPT7L
SLC4A1AP	SLC4A1AP
MRPL33	MRPL33
RBKS	RBKS
BABAM2	BABAM2
FOSL2	FOSL2
PPP1CB	PPP1CB
TRMT61B	TRMT61B
WDR43	WDR43
CLIP4	CLIP4
YPEL5	YPEL5
LCLAT1	LCLAT1
EHD3	EHD3
MEMO1	MEMO1
DPY30	DPY30
SPAST	SPAST
SLC30A6	SLC30A6
YIPF4	YIPF4
BIRC6	BIRC6
TTC27	TTC27
LTBP1	LTBP1
FAM98A	FAM98A
FEZ2	FEZ2
STRN	STRN
HEATR5B	HEATR5B
GPATCH11	GPATCH11
EIF2AK2	EIF2AK2
CEBPZOS	CEBPZOS
CEBPZ	CEBPZ
NDUFAF7	NDUFAF7
PRKD3	PRKD3
QPCT	QPCT
CDC42EP3	CDC42EP3
RMDN2	RMDN2
CYP1B1	CYP1B1
CYP1B1-AS1	CYP1B1-AS1
ATL2	ATL2
HNRNPLL	HNRNPLL
GALM	GALM
GEMIN6	GEMIN6
DHX57	DHX57
MORN2	MORN2
